,Year,Greenspace (%),Population
0,1990,51.19647522865741,6621000
1,1992,32.03756524209106,7344000
2,1993,18.71436391342299,7660000
3,1994,24.780751068135825,7989000
4,1995,25.4571384611743,8332000
5,1996,21.69967949002513,8691000
6,1998,23.479992661115155,9454000
7,1999,17.752703254558693,9860000
8,2002,23.30316273482322,11083000
9,2003,37.353094339176025,11484000
10,2005,20.24422430525967,12331000
11,2010,18.362467896748843,14731000
12,2011,30.2939296746476,15264000
13,2015,22.923965533566896,17597000
14,2016,25.619978991285823,18234000
15,2017,19.31178964873398,18894000
16,2019,14.401238001680651,20284000
17,2021,22.34837388630964,21741000
18,2022,21.458414704872823,22478000
19,2023,26.82964356939538,23210000
20,2024,19.77635347868286,23936000
21,2025,15.150959251062218,24653000
22,2026,20.85297048631628,25389771
23,2027,20.493605871232376,26171707
24,2028,20.001105368645312,26968055
25,2029,19.35526018720566,27778815
26,2030,18.53486904672036,28603986
